id,produto,tipo,modulo,superficie,rota_ou_origem,exibicao_principal,funcoes_principais,evidencia,lacuna_principal,referencia
G01,Compartilhado,Shell,Global,Shell autenticado,Todas as rotas,Topbar sidebar breadcrumb e canvas,Navegar recolher menu indicar rota ativa,Testado,Permissões e responsividade precisam ser definidos,00/01
G02,Compartilhado,Popover,Topbar,Seletor de produtos,Grade da topbar,FT Vision e FT Manager,Alternar produto fechar por Esc/clique,Testado,Efeito sobre contexto/sessão,01
G03,Compartilhado,Modal,Topbar,Busca global,Lupa da topbar,Campo resultados e estado vazio,Pesquisar selecionar resultado e fechar,Testado sem termo,Catálogo e ranking de resultados,01
G04,Compartilhado,Menu,Topbar,Idioma,Globo/PT,English Español Português Brasil,Selecionar idioma,Inspecionado sem troca,Persistência e cobertura de tradução,01
G05,Compartilhado,Drawer,Central do usuário,Dados do usuário,Avatar,Conta contato senha celular e compartilhamento,Editar revelar vincular modificar compartilhar,Inspecionado sem alteração,Fluxos sensíveis e MFA,01
G06,Compartilhado,Drawer,Central do usuário,Notificações,Sino,Não lido lido todos e mensagens,Filtrar atualizar marcar como lido paginar,Testado sem mutação,Retenção e navegação ao objeto,01
G07,Compartilhado,Drawer,Central do usuário,Ferramentas,Aba Ferramenta,DiskTool e LocalPlayer,Baixar utilitários,Não executado,Integridade plataforma e atualização,01
G08,Compartilhado,Drawer,Central do usuário,Sobre,Aba Sobre,Versão lançamento e requisitos,Consultar compatibilidade,Testado,Política de atualização,01
G09,Compartilhado,Drawer,Central do usuário,Downloads,Atalho de downloads,Sucesso baixando aguardando falha,Baixar excluir atualizar configurar e paginar,Testado sem baixar/excluir,Retry expiração e permissões,01
G10,Compartilhado,Dialog,Topbar,Logout,Ícone energia,Confirmação de saída,Confirmar ou cancelar,Testado e cancelado,Efeito pós-confirmação,01
G11,Compartilhado,Navegação,Global,Sidebar,Todas as rotas,Grupos itens filhos e ativo,Expandir recolher navegar,Testado,Comportamento mobile e favoritos,00
V01,FT Vision,Rota,Dashboard,Dashboard,/ftv/ft/dashboard,KPIs riscos rankings e pendências,Drill-down e alternar entidade,Verificada,Interações dos gráficos/atalhos completos,02
V02,FT Vision,Rota,Monitoramento,Monitoramento de Veículos,/ftv/ft/realtime-monitoring,Rail de ativos e mapa,Buscar selecionar favoritar abrir ações,Verificada,Live video áudio e compartilhamento não percorridos,02
V03,FT Vision,Rota,Monitoramento,Histórico de trajeto,/ftv/ft/track-playback,Viagens métricas mapa timeline,Consultar alternar OBD/GPS reproduzir e correlacionar vídeo,Verificada,Estados com lacunas e vídeo real,02
V04,FT Vision,Rota,Monitoramento,Monitoramento de Riscos,/ftv/ft/decision-tree,Filtros tabela expansão e auto refresh,Filtrar expandir atualizar 30/60s,Verificada,Conteúdo expandido e atualização real,02
V05,FT Vision,Rota,Evidências,Reprodução de vídeo,/ftv/playback-device,Seletor veículo/data player/timeline,Carregar e reproduzir canais,Verificada no vazio,Três controles e estado populado,03
V06,FT Vision,Rota,Evidências,Biblioteca de vídeo,/ftv/ft/video-list,Abas de tarefa filtros e acervo,Adicionar excluir classificar favoritar e selecionar,Verificada no vazio,Pós-solicitação e tarefas populadas,03
V07,FT Vision,Rota,Evidências,Lista de Alertas,/ftv/ft/new-alarm-list,Filtros grid/lista e cartões,Validar rejeitar favoritar enviar exportar compartilhar vincular,Verificada sem mutações,Efeitos pós-confirmação e lote,03
V08,FT Vision,Rota,Evidências,Detalhe do alarme,/ftv/ft/new-alarm-detail,Metadados mídia mapa e auditorias,Alternar contexto e consultar trilhas,Verificada com sem vídeo,Estado multicanal populado,03
V09,FT Vision,Rota,Relatórios,Análises de Segurança,/ftv/ft/security-center/analyse,Filtros score gráficos heatmap ranking,Alternar dimensão/peso e filtrar,Verificada,Fórmula/pesos configuráveis e drill-down,04
V10,FT Vision,Rota,Relatórios,Lista de riscos de condução,/ftv/ft/report-center/risk-driving-list,Abas cards e tabela ampla,Comparar filtrar ordenar e paginar,Verificada no vazio,Linhas populadas e navegação,04
V11,FT Vision,Rota,Relatórios,Gestão de Relatórios,/ftv/ft/report-manage,Busca e cards de modelos,Buscar visualizar e iniciar relatório,Verificada,Rótulos Desativar/Entrar ambíguos,04
V12,FT Vision,Rota,Relatórios,E-mail agendado,/ftv/ft/scheduled-tasks/list,Filtros e tabela de tarefas,Adicionar excluir e administrar,Verificada no vazio,Estados populados e edição,04
V13,FT Vision,Rota,Relatórios,Adicionar tarefa de e-mail,/ftv/ft/scheduled-tasks/create,Stepper configuração/escopo,Definir destinatários ciclo horário e escopo,Verificada sem salvar,Pós-salvar entrega e histórico,04
V14,FT Vision,Rota,Relatórios,Relatório de resumo mensal,/ftv/ft/report-form/monthly-summary,Árvore mês KPIs e cinco abas,Filtrar/resetar e alternar indicador,Verificada,Drill-down/exportação,04
V15,FT Vision,Rota,Relatórios,Status de transmissão,/ftv/ft/report-form/car-online,Árvore período estatística e detalhes,Consultar disponibilidade e indisponibilidade,Verificada,Semântica dos motivos de offline,04
V16,FT Vision,Rota,Relatórios,Última localização,/ftv/ft/report-form/last-state-statistics,Árvore abas e tabela,Alternar GPS/online e consultar último estado,Verificada no vazio,Estado populado e link ao mapa,04
V17,FT Vision,Rota,Relatórios,Relatório de posição,/ftv/ft/report-form/location-statistics,Árvore agregado e detalhe,Filtrar e alternar visão,Verificada,Colunas detalhadas e exportação,04
V18,FT Vision,Rota,Consumo,Visão geral do dispositivo celular,/ftv/flow/flow-preview,KPIs composição série e ranking,Alternar mensal/diário e filtrar,Verificada,Franquia/base de cálculo,05
V19,FT Vision,Rota,Consumo,Lista de celulares do dispositivo,/ftv/flow/flow-manage,Árvore resumos e tabela,Filtrar paginar e abrir placa,Verificada,Tratamento e ações funcionais,05
V20,FT Vision,Rota,Consumo,Detalhes de tráfego,/ftv/flow/flow-manage/detail,Total por função e dia,Alternar serial/competência e investigar pico,Verificada,Interação do detalhe diário,05
V21,FT Vision,Rota,Identificação,Avaliação de Motorista desconhecido,/ftv/ft/system/unknown-driver-alarm,Abas filtros seleção e fila,Marcar/processar seleção,Verificada no vazio,Pós-tratamento e reclassificação,06
